sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
203176,long,393754,350408,255839
203236,long,381601,294352,324047
203296,long,414693,371517,213790
203356,long,382132,311626,306243
203416,long,417696,315339,266965
203476,long,384765,313433,301802
203536,hold,308080,266784,425135
203596,long,411434,353566,235000
203656,hold,284620,269997,445383
203716,hold,319639,315742,364619
203776,hold,339082,289611,371307
203836,hold,328924,291007,380069
203896,long,543483,329730,126787
203956,long,411841,310569,277590
204016,hold,327298,347512,325191
204076,hold,336789,271075,392136
204136,hold,343762,298580,357658
204196,hold,350276,314436,335289
204256,long,374642,273043,352314
204316,hold,330986,284649,384365
204376,hold,301928,274887,423185
204436,hold,226733,241747,531520
204496,hold,281720,338865,379415
204556,long,373480,296094,330425
204616,hold,283272,305451,411278
204676,hold,276237,249304,474460
204736,hold,300268,306834,392898
204796,hold,291755,263188,445057
204856,hold,298072,313929,387999
204916,hold,280990,315782,403228
204976,hold,269915,279284,450801
205036,hold,240434,262274,497292
205096,hold,290245,301444,408311
205156,hold,254755,259117,486127
205216,long,543494,453085,3421
205276,long,519988,349706,130306
205336,short,438859,473957,87184
205396,long,473176,335334,191490
205456,long,498819,442677,58503
205516,long,418067,355356,226577
205576,hold,353374,287715,358911
205636,long,367470,293425,339105
205696,long,365537,269997,364467
205756,long,397468,309291,293240
205816,long,405627,328579,265795
205876,long,404301,295328,300371
205936,long,493916,317358,188726
205996,hold,304676,273045,422279
206056,hold,329479,283431,387089
206116,hold,259355,295953,444693
206176,hold,236885,246555,516560
206236,hold,293310,297514,409176
206296,hold,264571,280441,454988
206356,hold,305929,259825,434247
206416,hold,330946,298271,370782
206476,hold,258185,257198,484617
206536,hold,254303,246846,498851
206596,hold,317796,334447,347757
206656,hold,329852,325841,344307
206716,hold,331213,307213,361574
206776,hold,286654,268561,444785
206836,hold,280070,298919,421011
206896,hold,283263,277460,439277
206956,hold,302016,340909,357075
207016,hold,250223,264105,485672
207076,hold,232888,233872,533240
207136,hold,255597,273139,471264
207196,hold,250761,247676,501563
207256,hold,279169,242518,478313
207316,long,497892,328266,173842
207376,long,378969,264637,356394
207436,long,450459,353399,196142
207496,hold,336182,278511,385307
207556,hold,251133,253039,495828
207616,hold,232433,237785,529782
207676,hold,219586,236980,543434
207736,hold,239629,255683,504687
207796,hold,289667,247595,462738
207856,hold,313802,279593,406606
207916,long,387392,343044,269564
207976,hold,332930,274103,392967
208036,hold,323327,282409,394263
208096,hold,286243,325731,388026
208156,hold,275691,245525,478785
208216,hold,257902,257096,485001
208276,hold,308771,257267,433962
208336,long,362629,262934,374437
208396,hold,303973,326069,369958
208456,hold,224631,234305,541064
208516,hold,233841,238855,527305
208576,hold,278324,273224,448452
208636,hold,234083,260415,505502
208696,short,350939,568142,80919
208756,long,374509,291123,334369
208816,hold,316208,260838,422954
208876,hold,344960,301395,353644
208936,hold,306224,274485,419292
208996,hold,279009,247483,473508
209056,hold,259921,269999,470080
209116,hold,231342,241086,527572
209176,hold,244938,260511,494551
209236,hold,301954,333984,364062
209296,hold,276245,259153,464602
209356,hold,245551,235167,519282
209416,hold,283972,281714,434314
209476,hold,231144,244688,524169
209536,hold,233778,245290,520932
209596,hold,287857,258963,453180
209656,hold,295854,265899,438247
209716,hold,291022,274043,434935
209776,hold,353231,312580,334189
209836,long,394434,262701,342865
209896,hold,357996,291838,350166
209956,hold,318499,273727,407773
210016,hold,258149,250874,490977
210076,hold,264986,252365,482649
210136,hold,313741,328745,357514
210196,hold,281627,250270,468104
210256,hold,269154,278959,451888
210316,short,384393,569415,46192
210376,long,484042,271372,244586
210436,short,382508,383257,234235
210496,hold,277976,239153,482871
210556,hold,338954,305780,355266
210616,hold,297496,297085,405418
210676,hold,286760,250900,462340
210736,hold,259705,270015,470280
210796,hold,267581,274557,457861
210856,hold,276083,253095,470822
210916,hold,230187,250355,519458
210976,hold,242480,247520,510000
211036,short,283110,560950,155940
211096,long,471365,308846,219789
211156,long,558145,305134,136721
211216,hold,333186,331833,334981
211276,hold,343277,295982,360740
211336,hold,282268,264654,453078
211396,hold,337164,304574,358263
211456,hold,308384,264562,427054
211516,hold,344612,329860,325527
211576,long,417329,306610,276060
211636,hold,270657,265581,463762
211696,hold,282478,255670,461852
211756,hold,341297,342004,316699
211816,hold,330469,328942,340589
211876,hold,289065,292225,418710
211936,hold,232991,238749,528260
211996,hold,246147,255153,498700
212056,hold,335640,319123,345237
212116,hold,223651,249500,526849
212176,hold,240336,244952,514712
212236,hold,285580,260522,453898
212296,hold,333130,266282,400588
212356,hold,257863,239700,502437
212416,hold,249832,254732,495437
212476,hold,253795,248589,497617
212536,long,453329,360501,186170
