sequence,action,long_probability_ppm,short_probability_ppm,hold_probability_ppm
41656,hold,287119,305523,407358
41716,hold,285299,304835,409866
41776,hold,295410,309720,394870
41836,hold,294330,308655,397015
41896,hold,277470,291758,430772
41956,hold,294115,307888,397998
42016,hold,282850,302070,415080
42076,hold,289746,297935,412319
42136,hold,289420,304616,405964
42196,hold,297113,306906,395981
42256,hold,278998,295042,425961
42316,hold,288748,300616,410636
42376,hold,302409,305428,392164
42436,hold,292395,300205,407400
42496,hold,289618,299598,410784
42556,hold,293552,310008,396440
42616,hold,291551,303629,404820
42676,hold,289767,309203,401030
42736,hold,286813,309394,403792
42796,hold,279494,316487,404019
42856,hold,295445,295251,409304
42916,hold,285897,303208,410895
42976,hold,288843,308338,402819
43036,hold,288726,316046,395228
43096,hold,292191,303687,404122
43156,hold,294547,313511,391943
43216,hold,283949,299380,416671
43276,hold,288025,301791,410184
43336,hold,274599,298129,427272
43396,hold,293789,298293,407918
43456,hold,278525,295943,425533
43516,hold,290228,302197,407574
43576,hold,295517,314707,389776
43636,hold,293725,308085,398190
43696,hold,282273,309073,408655
43756,hold,291773,307737,400490
43816,hold,304795,306694,388511
43876,hold,276827,299433,423740
43936,hold,291459,308595,399947
43996,hold,302871,309686,387443
44056,hold,288019,297364,414618
44116,hold,280086,299395,420519
44176,hold,286212,305554,408234
44236,hold,293184,301421,405396
44296,hold,292143,309579,398277
44356,hold,298048,303808,398144
44416,hold,286045,303795,410160
44476,hold,288474,299707,411820
44536,hold,283059,302035,414906
44596,hold,288713,303524,407763
44656,hold,289558,305376,405065
44716,hold,291536,303436,405028
44776,hold,286983,307271,405745
44836,hold,286776,310660,402564
44896,hold,292110,305725,402165
44956,hold,303298,301360,395342
45016,hold,285843,307665,406492
45076,hold,289793,313238,396969
45136,hold,288296,305497,406207
45196,hold,286125,304112,409764
45256,hold,304243,296324,399434
45316,hold,294388,306416,399197
45376,hold,296427,301645,401928
45436,hold,288438,314977,396585
45496,hold,282192,293351,424456
45556,hold,299514,306949,393538
45616,hold,279213,299721,421067
45676,hold,288592,303752,407656
45736,hold,285189,308290,406521
45796,hold,293197,307241,399562
45856,hold,293272,308661,398067
45916,hold,281087,297215,421697
45976,hold,281671,298186,420143
46036,hold,289536,306073,404392
46096,hold,291788,320887,387326
46156,hold,297389,309592,393019
46216,hold,289783,316134,394082
46276,hold,290801,303514,405685
46336,hold,288428,300248,411324
46396,hold,283389,301844,414767
46456,hold,287820,308479,403701
46516,hold,285361,307546,407093
46576,hold,290940,304346,404714
46636,hold,291671,307979,400351
46696,hold,292033,308961,399007
46756,hold,285594,311347,403059
46816,hold,282771,304363,412866
46876,hold,286739,302787,410474
46936,hold,282544,299832,417623
46996,hold,294166,306676,399159
47056,hold,289039,303639,407322
47116,hold,284094,306645,409261
47176,hold,285479,305331,409190
47236,hold,295502,305976,398522
47296,hold,293724,304814,401462
47356,hold,283775,303761,412463
47416,hold,293463,308010,398527
47476,hold,303763,308842,387396
47536,hold,292933,302480,404587
47596,hold,293875,307855,398270
47656,hold,299596,304979,395425
47716,hold,288222,312170,399608
47776,hold,292051,303673,404276
47836,hold,287880,301019,411101
47896,hold,279976,297833,422191
47956,hold,289598,306006,404396
48016,hold,290840,309071,400089
48076,hold,286453,313711,399835
48136,hold,283820,297445,418735
48196,hold,273696,297938,428365
48256,hold,294234,308073,397693
48316,hold,287736,301600,410664
48376,hold,293887,303638,402475
48436,hold,274720,296639,428642
48496,hold,284089,300476,415435
48556,hold,282639,290419,426942
48616,hold,291054,314177,394769
48676,hold,290304,312692,397004
48736,hold,282998,296071,420931
48796,hold,287922,302219,409859
48856,hold,278555,295450,425995
48916,hold,293740,310250,396010
48976,hold,280639,328632,390729
49036,hold,290463,302170,407367
49096,hold,283506,306620,409874
49156,hold,297968,310732,391300
49216,hold,292115,303205,404680
49276,hold,283104,294513,422383
49336,hold,287074,307343,405583
49396,hold,285071,297410,417519
49456,hold,285517,304940,409543
49516,hold,284939,305845,409216
49576,hold,290463,308318,401219
49636,hold,300045,304344,395611
49696,hold,294172,300804,405023
49756,hold,284167,312541,403292
49816,hold,287391,301473,411137
49876,hold,283643,301869,414487
49936,hold,293934,307028,399038
49996,hold,293485,296428,410087
50056,hold,290154,305753,404093
50116,hold,297243,307362,395395
50176,hold,292809,304366,402825
50236,hold,279823,299147,421030
50296,hold,288482,303333,408185
50356,hold,287296,305955,406749
50416,hold,282423,300838,416739
50476,hold,286598,304485,408917
50536,hold,283029,306875,410096
50596,hold,282922,297583,419494
50656,hold,281043,310128,408829
50716,hold,286858,308768,404374
50776,hold,294941,308832,396227
50836,hold,289340,305318,405342
50896,hold,286900,307347,405753
50956,hold,304599,308240,387161
51016,hold,287482,303198,409320
51076,hold,291100,310631,398269
51136,hold,298433,312106,389461
51196,hold,278463,298978,422558
51256,hold,290958,306944,402098
51316,hold,295222,300849,403929
51376,hold,292606,312172,395222
51436,hold,284190,299512,416298
51496,hold,289114,310244,400641
51556,hold,300278,307700,392023
51616,hold,292478,312042,395480
51676,hold,295671,307741,396587
51736,hold,282835,301950,415215
51796,hold,282549,307173,410279
51856,hold,292792,320530,386678
51916,hold,291518,311985,396498
51976,hold,293574,313832,392594
52036,hold,291169,307037,401794
52096,hold,292491,307545,399964
52156,hold,295803,305856,398341
52216,hold,288785,302780,408435
52276,hold,284367,299934,415700
52336,hold,283063,295140,421797
52396,hold,289412,304430,406158
52456,hold,291544,313493,394964
52516,hold,286035,297393,416572
52576,hold,297344,308196,394461
52636,hold,309197,312029,378774
52696,hold,281396,303795,414809
52756,hold,285869,301896,412234
52816,hold,289407,302628,407965
52876,hold,287356,302842,409802
52936,hold,285669,299149,415183
52996,hold,295616,310957,393427
53056,hold,281908,296661,421432
53116,hold,280615,293785,425599
53176,hold,280601,302347,417052
53236,hold,285069,308973,405958
53296,hold,291803,301216,406981
53356,hold,280264,301595,418140
53416,hold,286328,302137,411536
53476,hold,292157,310339,397504
53536,hold,291844,307384,400772
53596,hold,306824,304775,388401
53656,hold,289113,305793,405094
53716,hold,289311,314118,396571
53776,hold,283362,306174,410464
53836,hold,284537,310668,404795
53896,hold,286105,297984,415911
53956,hold,288011,314798,397191
54016,hold,292529,309035,398436
54076,hold,293027,315446,391527
54136,hold,293615,299782,406603
54196,hold,291058,299595,409346
54256,hold,284455,296644,418901
54316,hold,292096,307384,400520
54376,hold,295428,304401,400171
54436,hold,288703,305501,405796
54496,hold,299456,307055,393490
54556,hold,289237,310864,399899
54616,hold,286869,309577,403554
54676,hold,285362,309417,405221
54736,hold,277404,297561,425035
54796,hold,291680,308803,399517
54856,hold,289255,303789,406956
54916,hold,283325,309119,407556
54976,hold,287595,305822,406583
55036,hold,286773,298190,415037
55096,hold,288620,303243,408137
55156,hold,288290,302923,408787
55216,hold,286216,302417,411367
55276,hold,288643,305036,406321
55336,hold,289198,310947,399855
55396,hold,286257,300694,413049
55456,hold,279819,307267,412914
